Image				Compared with		Change Score		Contours		Status
c23-1616788008060.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616788350506.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616788692826.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616789035150.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616789377672.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616789720272.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616790062790.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616790405305.png         c23-1616782187710.png         3870.0              1              Current Image Retained
c23-1616790747267.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616791089592.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616791431629.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616791773630.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616792115757.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616792457878.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616792799875.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616793141959.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616793484003.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616793825924.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616794168087.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616794509886.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616794851809.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616795193849.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616795535932.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616795878054.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616796220131.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616796561976.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616796903938.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616797245979.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616797588141.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616797930583.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616798272625.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616798614663.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616798956628.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616799298911.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616799641030.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616799982950.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616800324912.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616800667036.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616801009155.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616801351157.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616801693119.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616802035000.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616802377118.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616802719081.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616803061085.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616803403087.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616803745009.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616804087131.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616804429172.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616804771214.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616805113177.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616805455339.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616805797415.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616806139538.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616806481550.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616806823705.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616807165627.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616807507626.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616807849826.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616808191946.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616808534030.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616808876270.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616809218514.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616809560594.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616809902599.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616810244560.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616810586997.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616810929079.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616811271324.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616811613406.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616811955408.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616812297444.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616812639487.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616812981329.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616813323212.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616813665096.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616814007092.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616814349057.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616814691062.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616815033103.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616815375140.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616815717222.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616816059387.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616816401343.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616816743431.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616817085591.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616817427671.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616817769833.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616818111873.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616818453836.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616818795916.png         c23-1616790405305.png         0.0                 0              Current Image removed
c23-1616819137915.png         c23-1616790405305.png         0.0                 0              Current Image removed
